,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,samarai,36,PG,1548867296,100,81.24,-10.62,150.67,9.66
1,pulandian,0,CN,1548865800,17,24.8,39.4,121.96,13.42
2,puerto ayora,40,EC,1548864000,74,84.2,-0.74,-90.35,17.22
3,tiksi,56,RU,1548867297,0,-32.34,71.64,128.87,14.81
4,vostok,48,RU,1548867297,55,5.37,46.45,135.83,9.22
5,shahrud,0,IR,1548867297,83,24.45,36.42,54.97,2.51
6,mataura,0,NZ,1548867298,87,59.46,-46.19,168.86,1.95
7,nanortalik,0,GL,1548867298,100,30.39,60.14,-45.24,11.56
8,vaini,36,IN,1548867298,53,74.04,15.34,74.49,3.62
9,cape town,20,ZA,1548864000,69,75.2,-33.93,18.42,23.04
10,punta arenas,40,CL,1548864000,57,51.8,-53.16,-70.91,31.09
11,qaanaaq,32,GL,1548867299,94,-12.0,77.48,-69.36,8.88
12,bethel,90,US,1548866400,96,26.6,60.79,-161.76,3.36
13,rikitea,76,PF,1548867300,99,80.34,-23.12,-134.97,9.78
14,esperance,40,TT,1548864000,52,89.6,10.24,-61.45,11.41
15,carnarvon,0,ZA,1548867300,7,78.68,-30.97,22.13,10.22
16,broken hill,56,AU,1548864000,65,77.0,-31.97,141.45,8.05
17,buraydah,40,SA,1548864000,87,60.8,26.33,43.97,2.24
18,ust-nera,0,RU,1548867301,0,-58.53,64.57,143.24,1.61
19,cap malheureux,75,MU,1548864000,88,78.8,-19.98,57.61,3.36
20,hobart,75,AU,1548865860,82,57.2,-42.88,147.33,19.46
21,gubkinskiy,0,RU,1548867302,0,-39.09,64.43,76.5,8.99
22,yellowknife,90,CA,1548864480,69,-7.61,62.45,-114.38,17.22
23,bonnyville,90,CA,1548866520,64,-0.41,54.27,-110.74,12.75
24,port hedland,64,AU,1548865800,79,84.2,-20.31,118.58,13.87
25,saskylakh,64,RU,1548867303,27,-18.75,71.97,114.09,10.11
26,port alfred,88,ZA,1548867250,91,71.43,-33.59,26.89,9.22
27,half moon bay,40,US,1548866100,93,53.96,37.46,-122.43,3.74
28,hermanus,12,ZA,1548867303,70,69.72,-34.42,19.24,6.31
29,ketchikan,90,US,1548866160,87,42.8,55.34,-131.65,8.05
30,marataizes,0,BR,1548867304,75,85.92,-21.04,-40.82,17.6
31,dingzhou,0,CN,1548864000,23,30.2,38.51,115.0,2.24
32,albany,20,US,1548865140,28,23.0,42.65,-73.75,6.87
33,caravelas,12,BR,1548867305,100,82.73,-17.73,-39.27,9.1
34,ust-kuyga,44,RU,1548867305,0,-39.18,70.0,135.55,3.4
35,tilichiki,88,RU,1548867305,75,-3.27,60.47,166.1,4.07
36,arraial do cabo,0,BR,1548864000,55,95.0,-22.97,-42.02,13.87
37,sao filipe,80,CV,1548867306,94,71.97,14.9,-24.5,19.17
38,severo-kurilsk,88,RU,1548867306,100,29.63,50.68,156.12,18.39
39,butaritari,68,KI,1548867307,100,83.36,3.07,172.79,14.7
40,abapo,0,BO,1548867307,45,85.34,-18.83,-63.47,6.31
41,bredasdorp,0,ZA,1548864000,65,77.0,-34.53,20.04,11.41
42,torbay,90,CA,1548864000,92,28.4,47.66,-52.73,12.75
43,ballina,20,IE,1548865800,80,37.4,54.11,-9.15,4.7
44,dikson,0,RU,1548867308,76,-16.77,73.51,80.55,8.66
45,saint-augustin,92,FR,1548864000,87,48.2,44.83,-0.61,12.75
46,prince rupert,90,CA,1548864000,86,41.0,54.32,-130.32,9.17
47,padre paraiso,24,BR,1548867309,53,88.17,-17.07,-41.48,8.99
48,ushuaia,75,AR,1548865800,61,48.2,-54.81,-68.31,26.4
49,taoudenni,0,ML,1548867309,17,70.26,22.68,-3.98,3.29
50,hadishahr,0,AZ,1548865800,86,41.0,38.84,45.66,2.24
51,iztapa,5,GT,1548864000,45,87.8,13.93,-90.71,9.17
52,chokurdakh,8,RU,1548867310,0,-47.42,70.62,147.9,2.84
53,shenjiamen,64,CN,1548867310,91,56.36,29.96,122.3,13.91
54,atuona,68,PF,1548867310,100,80.48,-9.8,-139.03,19.73
55,villa san giovanni,40,IT,1548865200,100,39.2,45.52,9.23,3.36
56,kikwit,44,CD,1548867311,93,73.28,-5.04,18.82,2.62
57,pevek,56,RU,1548867311,100,-22.53,69.7,170.27,5.41
58,jamestown,0,AU,1548867280,87,59.96,-33.21,138.6,12.12
59,salalah,0,OM,1548863400,64,75.2,17.01,54.1,3.36
60,te anau,48,NZ,1548867227,88,52.76,-45.41,167.72,2.84
61,iralaya,40,HN,1548864000,69,82.4,15.0,-83.23,4.7
62,sisimiut,68,GL,1548867312,100,4.74,66.94,-53.67,1.95
63,maltahohe,0,NA,1548867312,15,85.47,-24.83,16.98,11.34
64,tuktoyaktuk,90,CA,1548865800,83,-4.01,69.44,-133.03,29.97
65,atasu,80,KZ,1548867316,77,15.09,48.68,71.64,7.65
66,hithadhoo,48,MV,1548867316,98,84.08,-0.6,73.08,18.28
67,avarua,75,CK,1548864000,83,80.6,-21.21,-159.78,11.41
68,katsuura,75,JP,1548864000,70,42.8,33.93,134.5,8.05
69,mar del plata,0,AR,1548867317,34,67.74,-46.43,-67.52,10.78
70,ponta do sol,0,BR,1548867317,41,91.01,-20.63,-46.0,4.41
71,vila velha,20,BR,1548864000,55,89.6,-3.71,-38.6,14.99
72,chuy,80,UY,1548867318,98,80.25,-33.69,-53.46,4.74
73,dingle,56,PH,1548867318,90,74.13,11.0,122.67,12.01
74,cockburn town,0,TC,1548867318,98,78.81,21.46,-71.14,11.45
75,lebu,0,ET,1548867318,43,54.15,8.96,38.73,6.64
76,vestmanna,88,FO,1548865200,68,28.4,62.16,-7.17,16.11
77,sangmelima,8,CM,1548867319,88,74.49,2.93,11.98,2.17
78,bluff,68,AU,1548867319,77,72.6,-23.58,149.07,11.12
79,champoton,5,MX,1548862800,64,71.6,19.35,-90.72,11.41
80,honiara,24,SB,1548867319,100,72.96,-9.43,159.96,2.39
81,alice springs,0,AU,1548865800,37,84.2,-23.7,133.88,3.36
82,cabedelo,75,BR,1548864000,52,89.6,-6.97,-34.84,14.99
83,bereda,75,ES,1548866400,93,55.4,43.27,-7.54,12.75
84,zhob,92,PK,1548867341,97,32.82,31.34,69.45,2.06
85,college,1,US,1548863880,94,14.54,64.86,-147.8,9.44
86,barrow,0,AR,1548867342,52,81.87,-38.31,-60.23,18.16
87,nome,40,US,1548866100,31,46.76,30.04,-94.42,6.93
88,luang prabang,20,LA,1548867343,92,58.61,19.89,102.14,1.95
89,manavalakurichi,20,IN,1548865800,70,84.2,8.13,77.3,4.7
90,georgetown,40,GY,1548864000,74,82.4,6.8,-58.16,16.11
91,vilcun,0,CL,1548864000,52,66.2,-38.65,-72.23,5.82
92,havelock,1,US,1548863880,34,42.08,34.88,-76.9,3.36
93,ancud,75,CL,1548864000,62,55.4,-41.87,-73.83,5.82
94,benghazi,40,LY,1548865320,76,53.6,32.12,20.07,11.41
95,norman wells,90,CA,1548864000,77,5.0,65.28,-126.83,21.92
